averageDensity,averageTotalMS,averageChecks,averageChecksPerBoid,mapSize,leafCapacityOrCellSize,searchAlgo
1.11558676,4.338064,19215.4453,19.21544,750,32,QUADTREE
1.07280707,4.67108774,39407.31,39.4073219,750,64,QUADTREE
1.03067935,5.281896,66480.84,66.48085,750,128,QUADTREE
1.11079407,9.921946,196554.672,196.554749,750,256,QUADTREE
1.11431873,11.8873415,253325.828,253.325745,750,512,QUADTREE
1.13537717,40.3275871,989478.6,989.4789,750,1024,QUADTREE
0.257984251,0.6121592,2012.44238,2.012443,800,2,UNIFORMGRID
1.13647521,0.871456,4804.90625,4.80490446,800,5,UNIFORMGRID
1.12185621,0.9262391,7113.44,7.11343956,800,10,UNIFORMGRID
1.17705631,0.9940793,9020.724,9.02072,800,15,UNIFORMGRID
1.0748651,1.14870465,13047.4033,13.0474024,800,25,UNIFORMGRID
1.02301669,1.91427422,33797.6836,33.7977028,800,50,UNIFORMGRID
0.977464855,3.14049029,68488.75,68.48872,800,75,UNIFORMGRID
1.05557573,9.159685,236813.859,236.813782,800,150,UNIFORMGRID
1.04616165,23.9269218,648635.25,648.635559,800,300,UNIFORMGRID
1.06730723,36.3898468,999000.25,999,800,500,UNIFORMGRID
1.04736841,39.29126,1082329.5,1082.32971,800,1000,UNIFORMGRID
0.9937068,7.76846743,1765.1449,1.765145,800,1,QUADTREE
0.9588941,6.708945,2107.71582,2.10771561,800,2,QUADTREE
0.9375989,5.707246,3201.5625,3.20156264,800,4,QUADTREE
0.9875672,4.99265766,5377.777,5.37777567,800,8,QUADTREE
1.01949179,4.497041,10904.8867,10.9048862,800,16,QUADTREE
0.9840745,4.2965703,18948.7949,18.9488049,800,32,QUADTREE
0.966213346,4.77478456,44988.63,44.9886246,800,64,QUADTREE
0.9748549,5.273852,66543.33,66.5433044,800,128,QUADTREE
1.02025843,9.789027,194629.047,194.628967,800,256,QUADTREE
0.9966926,11.8756943,253654.7,253.6547,800,512,QUADTREE
1.07971561,40.4278679,991430.938,991.4312,800,1024,QUADTREE
0.3966631,0.669289052,2327.25122,2.3272512,850,2,UNIFORMGRID
1.041781,0.836183,4445.10938,4.44510937,850,5,UNIFORMGRID
1.09479129,0.9180212,6733.60156,6.73360062,850,10,UNIFORMGRID
1.05757511,0.9708962,8489.774,8.489777,850,15,UNIFORMGRID
1.035861,1.0986166,11890.2939,11.8902912,850,25,UNIFORMGRID
0.9050471,1.75902474,29322.4,29.3224,850,50,UNIFORMGRID
0.901220739,2.91642785,62287.07,62.2870865,850,75,UNIFORMGRID
0.9407999,8.620046,221346.063,221.346115,850,150,UNIFORMGRID
0.9745814,23.8457661,648053.4,648.0532,850,300,UNIFORMGRID
0.931575656,36.6150246,999000.2,999,850,500,UNIFORMGRID
0.9909688,41.7522049,1154267.25,1154.26721,850,1000,UNIFORMGRID
0.9264314,7.657018,1666.48767,1.66648746,850,1,QUADTREE
0.847203434,6.556323,1977.39319,1.97739339,850,2,QUADTREE
0.8766073,5.610261,3074.98047,3.07498,850,4,QUADTREE
0.8967596,4.9177103,5190.114,5.19011545,850,8,QUADTREE
0.925218761,4.483485,11141.24,11.141243,850,16,QUADTREE
0.8748152,4.25457573,18565.6777,18.5656738,850,32,QUADTREE
0.8644795,4.65943861,40748.53,40.7485428,850,64,QUADTREE
0.89945817,5.26748,66658.31,66.6583557,850,128,QUADTREE
0.8611907,8.354855,155540.719,155.540665,850,256,QUADTREE
0.950267434,11.8001366,252022.344,252.022324,850,512,QUADTREE
0.960803,41.06195,990411.1,990.411255,850,1024,QUADTREE
0.253088146,0.671647,1855.44421,1.85544431,900,2,UNIFORMGRID
0.981637359,0.8325841,4253.037,4.253037,900,5,UNIFORMGRID
0.9447981,0.8840505,6313.05273,6.31305361,900,10,UNIFORMGRID
0.983627,0.950446963,8138.24854,8.138248,900,15,UNIFORMGRID
0.9506823,1.07524979,11444.4316,11.4444332,900,25,UNIFORMGRID
0.798766732,1.6339246,26149.52,26.1495113,900,50,UNIFORMGRID
0.840515733,2.650404,54896.9453,54.896946,900,75,UNIFORMGRID
0.8254298,7.62309742,192987.859,192.9878,900,150,UNIFORMGRID
0.8649163,21.1871319,572225,572.225037,900,300,UNIFORMGRID
0.8776286,35.6578,969158.6,969.1585,900,500,UNIFORMGRID
0.8676777,45.5095634,1256301.5,1256.302,900,1000,UNIFORMGRID
0.8321514,7.536136,1520.23938,1.52023971,900,1,QUADTREE
0.853885055,6.578354,1960.223,1.96022344,900,2,QUADTREE
0.7924248,5.48271036,3034.758,3.03475833,900,4,QUADTREE
0.806844234,4.850418,5295.876,5.295878,900,8,QUADTREE
0.846197,4.45279264,10687.1221,10.6871252,900,16,QUADTREE
0.869350851,4.21040964,17918.6426,17.9186459,900,32,QUADTREE
